Fecha de venta,Ciudad,Producto,Precio unitario,Cantidad,Monto total,Cliente,Email,ID de orden
1/10/24,monterrey,Tablet-Estándar-8GB,1339.17,2,"2,678.34",Rebeca Salvador Gamez García,qcovarrubias@hotmail.com,53a9e98d-d57a-488e-bcec-701bc4e1ec3e
1/10/24,bogotá,Auriculares-Con cable-32GB,716.29,1,716.29,Evelio Ramiro Arce,gaytansergio@navarro.info,10c739f0-f7fb-4c8e-a239-ed1f5c295465
3/10/24,monterrey,Auriculares-Con cable-32GB,439.01,5,"2,195.05",Sandra Baez,maria-teresamanzanares@jaquez.com,d7c9e19e-1228-4326-8b2a-cde42e222a67
3/10/24,bogotá,Tablet-Estándar-16GB,741.79,2,"1,483.58",Uriel Helena Caldera,pizarrojaqueline@acuna-moreno.com,91de2837-a873-4607-8185-7fa6844d2be8
3/10/24,bogotá,Tablet-Estándar-8GB,984.34,3,"2,953.02",Wendolin Jeronimo Farías,yterrazas@hotmail.com,4cfd7c38-6607-4b36-ab60-fb259d4e18b4
3/10/24,Ciudad de Mexico,Teléfono-Gama alta-32GB,2419.81,5,"12,099.05",Esteban Ureña,gvazquez@burgos.com,a4da2665-dfb9-46f3-b658-cc5d0505dd86
3/10/24,Medellín,Tablet-Pro-4GB,145.9,5,729.50,Aida Ojeda Galindo,concepcion88@hotmail.com,8d23f99e-11a9-4194-979d-e2f334eec6fa
4/10/24,Ciudad de Mexico,Auriculares-Con cable-8GB,1086.48,1,"1,086.48",Cristal Luis Manuel Sanchez,rocioescalante@hotmail.com,a895a20b-523d-4f9e-a3e5-039259362c4f
5/10/24,monterrey,Auriculares-Con cable-8GB,1898.32,4,"7,593.28",Daniela Padron,dromero@industrias.info,14722e2a-7971-43ee-ac45-587157e6f198
6/10/24,monterrey,Tablet-Estándar-8GB,1280.61,5,"6,403.05",Lic. Elena Zepeda,emiliovillegas@diaz-ulibarri.net,7424e9fb-eb47-4eb6-b0ee-330eb470b214
6/10/24,Medellín,Tablet-Estándar-32GB,1753,5,"8,765.00",Cristal Rincon,maria-teresaibarra@yahoo.com,a4b8a935-59ba-43d2-9d68-660ee91a5acd
7/10/24,Ciudad de Mexico,Laptop-Oficina-8GB,370.25,4,"1,481.00",Francisca Lucas Jaimes Zavala,baezjonas@proyectos.org,9c8710a3-d9ef-4a00-9c0b-7c93d5fb8f63
7/10/24,Guadalajara,Auriculares-Bluetooth-4GB,62.73,3,188.19,Elisa Soria,guillerminacorral@yahoo.com,eb72415a-2fdb-436d-a740-aa38fe92dba8
8/10/24,Medellín,Laptop-Ultraliviana-4GB,2314.37,5,"11,571.85",Rosalia Alcantar,luisamata@barajas-de.org,a9fee7b5-3729-4db8-815f-355ff6236823
8/10/24,Medellín,Tablet-Estándar-4GB,2168.25,3,"6,504.75",Fernando Marquez Almaraz,benitezcarlota@yahoo.com,1d366307-d6bd-4e44-b202-bab1ce141dbd
9/10/24,bogotá,Auriculares-Bluetooth-16GB,120.46,1,120.46,Indira Guadalupe Montez Alcaraz,brivera@club.com,a076e80e-95f4-4b8d-8e0e-af032fd3e7e3
9/10/24,CALI,Tablet-Mini-32GB,525.13,2,"1,050.26",Ing. María José Noriega,victor38@industrias.com,55a4140a-ad3c-4b67-9d33-7eb275fe9440
10/10/24,bogotá,Laptop-Oficina-16GB,278.37,3,835.11,Mtro. César Verduzco,maria-elena87@proyectos.biz,af1640cb-8d21-4be4-a497-cf19ebe3fa3e
10/10/24,Medellín,Teléfono-Gama media-32GB,157.57,2,315.14,Ernesto Rendon,nadame@hotmail.com,7c7c5e94-04af-466b-bbd2-9ba60b16b6cc
10/10/24,TULUM,Laptop-Gaming-32GB,981.62,5,"4,908.10",Julio César Fernando Cordero,fmontalvo@gmail.com,fd56654c-43c9-4016-8183-cbdf6b382ba6
10/10/24,Ciudad de Mexico,Tablet-Mini-8GB,646.22,2,"1,292.44",Augusto Oswaldo Arce Guardado,marcos44@yahoo.com,b510688e-fa24-4654-b955-0b6adeee039e
10/10/24,Guadalajara,Tablet-Pro-4GB,1848.98,3,"5,546.94",Maximiliano Omar Brito Vega,julio50@hotmail.com,99bc21fb-dcd1-48e4-be06-9bd0b762b73e
10/10/24,CALI,Teléfono-Gama alta-32GB,1420.28,4,"5,681.12",Alejandra Najera Miramontes,umadrigal@despacho.biz,38daf333-0f89-435f-9b2d-a6d639ff33df
11/10/24,Medellín,Auriculares-Bluetooth-16GB,2208.12,2,"4,416.24",Benjamín Marcela Lucero,cresporaquel@yahoo.com,cc9f2851-c332-405f-a3fb-1abae821a706
11/10/24,Medellín,Tablet-Estándar-16GB,591.94,2,"1,183.88",Eloy Godoy del Río,kveliz@gmail.com,7ac1b8fd-c88f-4033-9061-4a7613449273
11/10/24,monterrey,Auriculares-Bluetooth-4GB,1429.89,4,"5,719.56",Luis Manuel Ilse Apodaca,ilse56@tapia-zavala.com,a1cb1e10-0e31-479a-b8bb-5dc909b32b66
11/10/24,Medellín,Auriculares-Con cable-8GB,2085.29,1,"2,085.29",Eugenio Juana Orta Chapa,marco-antoniorosado@grupo.org,3786d3a2-e035-4239-845a-3dce8eca0b61
11/10/24,GUADALAJARA,Teléfono-Gama baja-16GB,724.28,3,"2,172.84",Octavio Briseño Corrales,antoniohernandez@gmail.com,06092c99-a04c-49aa-b1e2-81711e255109
11/10/24,CALI,Teléfono-Gama alta-8GB,1859.58,3,"5,578.74",Patricio Puga,maytecasares@yahoo.com,428f89ef-5eb4-469e-b29a-14fcef36e9d3
11/10/24,Medellín,Tel√©fono-Gama media-8GB,218.17,4,872.68,Antonio Adriana Razo,reyesespartaco@hotmail.com,c08f9ba9-0e32-4277-937a-eae40b912ab0
11/10/24,Ciudad de Mexico,Tablet-Pro-4GB,1375.85,1,"1,375.85",Isabel Maya,tozuna@yahoo.com,e8070b1a-de24-4296-b9ca-c4d62784eb47
11/10/24,Guadalajara,Tablet-Pro-8GB,421.59,2,843.18,Lic. Carlota Ontiveros,francisco-javierzamudio@gmail.com,19a6e9f7-0a45-4879-ab17-df6979e1e612
11/10/24,monterrey,Tablet-Mini-32GB,2288.18,1,"2,288.18",Itzel Puente Téllez,emontalvo@angulo.info,e1d56019-1e10-4a1a-9dff-bff7048987d6
11/10/24,monterrey,Auriculares-Con cable-16GB,1699.32,4,"6,797.28",Daniela Uribe,qcolon@laureano-solorzano.net,a1278508-c2d2-4e1a-9ab3-cd5dcc25c9cf
11/10/24,CALI,Tablet-Mini-32GB,1578.34,3,"4,735.02",Gustavo Berta Aragon,del-riojuan@velasco.com,afc92f17-61fe-4e4e-84c2-09515ccc8e07
12/10/24,bogotá,Teléfono-Gama alta-16GB ,1445.1,4,"5,780.40",Lorenzo Wendolin Méndez Gollum,ffuentes@ochoa-molina.com,116022d7-56fc-4596-aeba-30c58ab21dbf
12/10/24,Guadalajara,Auriculares-Bluetooth-4GB,1065.52,2,"2,131.04",Serafín Samuel Tamayo Baez,bruno78@vega.org,c196a64f-ac47-4c79-b416-d0807432cfa3
12/10/24,Ciudad de Mexico,Laptop-Gaming-8GB,2095.66,5,"10,478.30",Irene Domínguez,estherpedroza@rojas-moya.info,2ad918fa-d68e-42ea-926c-414454fd8220
12/10/24,Guadalajara,Tablet-Estándar-16GB,2215.63,3,"6,646.89",María Cristina Valdivia Mondragon,porfirio68@corporacin.biz,9fc06fba-9376-4e96-97f1-0aeca2f00a87
12/10/24,bogotá,Tablet-Estándar-4GB,2395.85,4,"9,583.40",Diego Fernandez,sessa76@casarez.com,d1068262-a372-42f4-b5e9-48fa9a84b933
12/10/24,Guadalajara,Laptop-Oficina-32GB,883.61,2,"1,767.22",Dolores Jesús Quiñonez Lebron,nicolas17@gmail.com,5c299656-4419-4c69-bdd2-2dc9b8af337b
12/10/24,CALI,Auriculares-Bluetooth-32GB,1277.75,1,"1,277.75",Karina Jeronimo Pérez Mojica,mauro20@urrutia.net,581770ae-84a5-4fc3-ba77-826c11cb3e70
12/10/24,Guadalajara,Teléfono-Gama baja-4GB,2182.77,3,"6,548.31",Octavio Isabela Barraza,irobles@gmail.com,bb32f0ba-b764-401c-a691-3d59b0136679
12/10/24,bogotá,Auriculares-Bluetooth-4GB,1163.04,1,"1,163.04",Mariano Fuentes Esquibel,juana28@hotmail.com,538c9408-8b8b-4785-b9f9-cd2657097173
13/10/24,monterrey,Tablet-Mini-8GB,1664.18,3,"4,992.54",Asuncion Samaniego,arellanoalfredo@gmail.com,4e9e641c-a0d6-4903-8f6e-f87d90c24aa0
13/10/24,CALI,Tablet-Mini-4GB,992.68,5,"4,963.40",Marcela Paez,gabrieljaime@club.com,e98e23f8-e415-4062-bdbb-4e90ecd252c4
13/10/24,Guadalajara,Auriculares-Cancelaci√≥n de ruido-16GB,284.79,5,"1,423.95",Alta  Gracia Alicia Guzman,rosasgabriela@gmail.com,88268205-0f39-4e9a-9353-1a9ee68c009c
13/10/24,monterrey,Laptop-Ultraliviana-16GB,,3,"1,086.51",Rodrigo Vanegas Serna,vicentezelaya@valdez.com,426433ea-0410-4d24-b435-247c7b633415
13/10/24,Guadalajara,Laptop-Oficina-8GB,1274.8,5,"6,374.00",Luis Camila Guardado,deborallamas@hotmail.com,dca19bf4-3f5f-484c-bfdb-75c9ded28858
13/10/24,Guadalajara,Tablet-Pro-4GB,233.85,4,935.40,Mtro. Rafaél Najera,fernando51@yahoo.com,7594ffab-c88c-40b4-b851-6897e6230fb0
13/10/24,Ciudad de Mexico,Auriculares-Con cable-32GB,142.14,3,426.42,Clemente Lucas de la Crúz Florez,miriam03@laboratorios.com,306238f0-70d8-49c3-bc3f-5c9df03698bf
13/10/24,Medellín,Teléfono-Gama alta-8GB,226.52,2,453.04,Ing. Cecilia Gurule,pulidoindira@industrias.org,13857721-e31a-444e-a2c2-774566eb5f26
13/10/24,Ciudad de Mexico,Tablet-Mini-32GB,1922.79,3,"5,768.37",Elias Juan Carlos Estévez Cepeda,virginiameraz@yahoo.com,a2d32009-f750-4260-8311-8300bd425ff8
13/10/24,bogotá,Tablet-Pro-8GB,,2,"4,429.96",Alta  Gracia Marrero Ocasio,leonardorosas@laboratorios.com,fad038ce-1b32-4c25-85bc-38c2262677ee
14/10/24,bogotá,Laptop-Ultraliviana-16GB,120.94,3,,Esmeralda Bañuelos,gdel-rio@proyectos.biz,4a70ae74-59ef-4f8f-98ee-d8fff858e22d
14/10/24,Medellín,Tablet-Mini-8GB,1950.45,4,"7,801.80",Angélica Bueno Olvera,bernabe37@despacho.com,9ffc235a-1e2b-44c3-80ec-61b7a7d4cbc5
14/10/24,bogotá,Teléfono-Gama media-4GB,2092.55,5,"10,462.75",Roberto Casarez Lozada,granadosaraceli@proyectos.net,890c4fe3-a2aa-473b-a2ff-9c2704d3ac14
14/10/24,Medellín,Tablet-Estándar-8GB,214.72,3,644.16,Dr. Pedro Zapata,ursulamenchaca@hotmail.com,7413d048-5e1b-4043-9969-89781ce744b0
14/10/24,Guadalajara,Laptop-Gaming-16GB,1291.39,3,"3,874.17",Mtro. Salma de la Garza,ana-luisa49@otero.org,40b3bbac-c623-4647-a606-b5af9a39c69f
14/10/24,Ciudad de Mexico,Laptop-Oficina-4GB,970.38,5,"4,851.90",Tania Soto Nieves,jeronimovigil@hotmail.com,af87cfff-afb0-4f85-888d-e5db29ae4766
14/10/24,CALI,Tablet-Mini-16GB,2101.48,2,"4,202.96",Leticia Luevano Mayorga,orascon@corporacin.com,f0548b33-86eb-4b3f-a1f4-cef9f9f11955
14/10/24,bogotá,Laptop-Ultraliviana-4GB,302.84,3,908.52,Lic. Leonel Orosco,dponce@verdugo.info,972dd545-20a8-49a2-be8a-93f570eba58b
14/10/24,monterrey,Auriculares-Con cable-32GB,1421.57,4,"5,686.28",Hernan Anguiano,adriana27@hotmail.com,6b47665a-5972-4a11-a9e7-d42e56cf42a4
14/10/24,monterrey,Tablet-Mini-8GB,1037.64,3,"3,112.92",Dr. Yolanda Miranda,oswaldo20@proyectos.net,8e55023b-2774-4015-86a2-780e882c0d87
14/10/24,monterrey,Auriculares-Con cable-16GB,579.54,3,"1,738.62",Ing. Judith Ayala,paolavergara@laboratorios.net,64e8cb7b-f59e-470c-b704-3f79a8f2cc9e
14/10/24,Medellín,Tablet-Mini-4GB,796.49,3,"2,389.47",Carmen Rufino Téllez Benavides,leonortoledo@solorzano.com,dac843fc-5bc0-475f-a01e-8c48a965a9c2
14/10/24,bogotá,Tel√©fono-Gama media-8GB,1838.04,4,"7,352.16",Wendolin Fonseca,linda23@gmail.com,fc8a05ee-e84e-44f7-96be-898033a352b4
15/10/24,bogotá,Auriculares-Bluetooth-8GB,1090.69,1,"1,090.69",Mariano Leticia Palomino,brunoflorez@hotmail.com,c1103728-e36d-48da-ba95-42c7fc1ccca5
15/10/24,monterrey,Auriculares-Cancelación de ruido-8GB,882.55,5,"4,412.75",Veronica Wendolin Teran,felipe81@espino.info,6a83774a-e4f8-4c9b-ae75-2c985e801156
15/10/24,Ciudad de Mexico,Tablet-Pro-4GB,1909.2,3,"5,727.60",Sandra Marisol Vergara,casarezminerva@yahoo.com,03d8d67d-53e4-43e8-bd00-72801ff4e987
15/10/24,Ciudad de Mexico,Tablet-Estándar-32GB,2381.87,1,"2,381.87",Sr(a). Julio César Collazo,angel71@rincon-perea.com,be245970-0c63-4d78-ae9d-e25f66cad9cf
